loan_id,customer_id,origination_date,income,debt_to_income_ratio,loan_amount,interest_rate,credit_score,default_flag,default_probability,num_payments,avg_payment_ratio,max_days_late,pct_late_payments,origination_date_year,origination_date_month,origination_date_quarter,loan_age_months,loan_to_income,credit_dti_interaction,high_dti_flag,low_credit_flag,serious_delinquency_flag,underpayment_flag,high_risk_flag,employment_status_Retired,employment_status_Self-employed,employment_status_Unemployed,housing_status_Other,housing_status_Own,housing_status_Rent,product_type_Credit Card,product_type_Mortgage,product_type_Personal Loan,purpose_Debt Consolidation,purpose_Home Improvement,purpose_Major Purchase,purpose_Medical,purpose_Other
LOAN00000001,CUST000001,2024-07-14,0.11659889265729384,0.16580156217738273,0.019533755788310254,0.3628493883655302,0.6211946778985022,0,0.46887224724607757,20,0.9311847601723514,2,0.16637527535091196,2024,7,3,7.833333333333333,0.17236482547897222,0.6866542771625828,0,0,0,0,0,False,False,False,False,True,False,False,False,True,True,False,False,False,False
LOAN00000002,CUST000002,2025-01-14,0.0,0.4449312126912097,0.012577102921803212,0.323108420342028,0.9605728386107403,0,0.7592168955904386,16,1.0808473838235964,6,0.023834888841252677,2025,1,1,1.7,0.27014800838792413,0.8112890161931926,0,0,0,0,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False
LOAN00000003,CUST000003,2022-07-06,0.3474267164261587,1.0,0.06208099936615072,0.7640534578460585,0.4227209496105011,1,0.8559359543216452,6,0.9628719357618425,87,0.256457074112311,2022,7,3,32.46666666666667,0.21197841601868356,0.3881959259984046,0,0,1,0,1,False,False,False,False,True,False,True,False,False,True,False,False,False,False
LOAN00000004,CUST000004,2023-06-16,0.03710280265024269,0.6473352901019964,0.02256525018233167,0.19506978585480206,0.4327255180144915,0,0.8850307878558638,14,0.9529523506439854,2,0.07095785891076829,2023,6,2,20.966666666666665,0.29454580334106545,0.4659265042097396,0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False
LOAN00000005,CUST000005,2023-01-31,0.1201947558859206,0.4373381555699243,0.0,0.6957997958349921,0.0,0,0.3947135764167683,21,0.9937421696059401,1,0.002701201620433516,2023,1,1,25.5,0.05365062663866169,0.26014975645176186,0,1,0,0,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False
LOAN00000006,CUST000006,2022-06-02,0.16366782254366355,0.21348197539197783,0.09513334349493881,0.5781304637460125,0.3590057983932373,0,0.7871428119369649,19,1.0405462789645636,7,0.09237477230120554,2022,6,2,33.6,0.5199206238203746,0.509715608873114,0,1,0,0,1,False,False,False,False,True,False,True,False,False,False,False,True,False,False
LOAN00000007,CUST000007,2024-07-25,0.06436197671363474,0.5622121773599926,0.16099553399889052,0.5807830684401278,0.48801952866551385,0,0.6724348217706346,5,0.9330670136712672,9,0.1964340075908173,2024,7,3,7.466666666666667,1.3353833369194679,0.5138635209039051,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False
LOAN00000008,CUST000008,2022-07-15,0.16690443184157788,0.17482304362588522,0.09348841965531712,0.39257962572604954,0.5909583772938313,1,0.8868700894158605,23,0.9712421306749283,80,0.4465346808334188,2022,7,3,32.166666666666664,0.5057029633879947,0.6650863372271073,0,0,1,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False
LOAN00000009,CUST000009,2024-04-14,0.06598954298703617,0.09612269840922821,0.13873593181612642,0.1764803536937759,0.7226406268403981,1,0.4874503728707312,20,0.9955856355610692,19,0.2703640052863435,2024,4,2,10.866666666666667,1.1497525140493505,0.7708295834307926,0,0,0,0,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False
LOAN00000010,CUST000010,2023-02-13,0.27394541476311,0.061184265792224676,0.059273454217523426,0.6026232171193373,0.8367188581896381,1,0.629215112151751,17,0.7780534826706639,15,0.2946791102753015,2023,2,1,25.066666666666666,0.24270117231658309,0.8563106782655482,0,0,0,1,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False
